method,video_id,genre,length_bucket,caption_type,threshold,compression,sbert_cosine,rouge1_r,rougeL_r,segs_kept,segs_total,pct_segments_removed,pct_words_removed
model,-Ln4WJ98CPs,ted,long,unknown,0.5,0.6873,0.9699,0.6869,0.6869,27,55,50.90909090909091,31.269999999999996
model,-Ln4WJ98CPs,ted,long,unknown,0.6,0.7621,0.979,0.7614,0.7614,32,55,41.81818181818182,23.79
model,-Ln4WJ98CPs,ted,long,unknown,0.7,0.8427,0.9861,0.8411,0.8411,38,55,30.909090909090907,15.73
model,-Ln4WJ98CPs,ted,long,unknown,0.8,0.852,0.9869,0.8503,0.8503,39,55,29.09090909090909,14.800000000000002
model,-Ln4WJ98CPs,ted,long,unknown,0.9,0.9792,0.9972,0.9787,0.9787,51,55,7.272727272727275,2.080000000000004
model,-Ln4WJ98CPs,ted,long,unknown,0.95,0.998,0.9993,0.9979,0.9979,54,55,1.8181818181818188,0.20000000000000018
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.5,0.7415,0.9774,,,30,55,45.45454545454546,25.849999999999994
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.6,0.8503,0.9863,,,38,55,30.909090909090907,14.970000000000006
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.7,0.9356,0.9943,,,46,55,16.36363636363637,6.440000000000001
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.8,0.9811,0.9972,,,51,55,7.272727272727275,1.8900000000000028
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.9,0.9919,0.9986,,,53,55,3.6363636363636376,0.8099999999999996
tfidf,-Ln4WJ98CPs,ted,long,unknown,0.95,0.998,0.9993,,,54,55,1.8181818181818188,0.20000000000000018
sbert,-Ln4WJ98CPs,ted,long,unknown,0.5,0.6886,0.9701,,,29,55,47.27272727272728,31.14
sbert,-Ln4WJ98CPs,ted,long,unknown,0.6,0.8375,0.9803,,,39,55,29.09090909090909,16.249999999999996
sbert,-Ln4WJ98CPs,ted,long,unknown,0.7,0.9846,0.9976,,,52,55,5.454545454545457,1.539999999999997
sbert,-Ln4WJ98CPs,ted,long,unknown,0.8,0.998,0.9993,,,54,55,1.8181818181818188,0.20000000000000018
sbert,-Ln4WJ98CPs,ted,long,unknown,0.9,0.998,0.9993,,,54,55,1.8181818181818188,0.20000000000000018
sbert,-Ln4WJ98CPs,ted,long,unknown,0.95,1.0,1.0,,,55,55,0.0,0.0
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.5,0.1252,0.8659,,,10,55,81.81818181818181,87.48
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.6,0.3872,0.9398,,,20,55,63.63636363636363,61.28
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.7,0.7363,0.9789,,,34,55,38.18181818181819,26.370000000000005
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.8,0.9037,0.9917,,,45,55,18.181818181818176,9.630000000000006
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.9,0.989,0.9987,,,53,55,3.6363636363636376,1.100000000000001
heuristic,-Ln4WJ98CPs,ted,long,unknown,0.95,0.9939,0.9993,,,54,55,1.8181818181818188,0.6099999999999994
model,-QTkPfq7w1A,commentary,long,unknown,0.5,0.6764,0.9015,0.6738,0.6738,29,57,49.122807017543856,32.36
model,-QTkPfq7w1A,commentary,long,unknown,0.6,0.7775,0.9514,0.7758,0.7758,36,57,36.8421052631579,22.250000000000004
model,-QTkPfq7w1A,commentary,long,unknown,0.7,0.8751,0.9773,0.8728,0.8728,42,57,26.315789473684216,12.490000000000002
model,-QTkPfq7w1A,commentary,long,unknown,0.8,0.9275,0.9908,0.9264,0.9264,48,57,15.789473684210531,7.250000000000001
model,-QTkPfq7w1A,commentary,long,unknown,0.9,0.9887,0.9969,0.9882,0.9882,54,57,5.263157894736848,1.1299999999999977
model,-QTkPfq7w1A,commentary,long,unknown,0.95,1.0,1.0,1.0,1.0,57,57,0.0,0.0
tfidf,-QTkPfq7w1A,commentary,long,unknown,0.5,0.6977,0.9538,,,29,57,49.122807017543856,30.23
tfidf,-QTkPfq7w1A,commentary,long,unknown,0.6,0.8716,0.978,,,42,57,26.315789473684216,12.839999999999996
tfidf,-QTkPfq7w1A,commentary,long,unknown,0.7,0.9439,0.9891,,,48,57,15.789473684210531,5.610000000000004
tfidf,-QTkPfq7w1A,commentary,long,unknown,0.8,0.9901,0.9966,,,54,57,5.263157894736848,0.990000000000002
